主成分,寄与率,累積寄与率
PC1,0.31690085917847516,0.31690085917847516
PC2,0.1112032919130865,0.42810415109156164
PC3,0.10060209207236812,0.5287062431639298
PC4,0.09964149074975868,0.6283477339136885
PC5,0.07204628352120865,0.7003940174348972
PC6,0.06561189201771395,0.766005909452611
PC7,0.05180649055703193,0.817812400009643
PC8,0.05028163305227959,0.8680940330619226
PC9,0.04111508809558932,0.9092091211575118
PC10,0.03919834186120251,0.9484074630187144
